key,context,example,source,ru,es,pt,fr,de,it,ja,ko,zh-hans,zh-hant,id,th,tr,vi,pl,ar,orphan
announce-crumb-cheer-1,,,CRUMB MONSTER DOWN! DIG DEEPER!,,,,,,,,,,,,,,,,,
announce-crumb-cheer-2,,,GATE SMASHED!,,,,,,,,,,,,,,,,,
announce-crumb-cheer-3,,,ATE IT WHOLE!,,,,,,,,,,,,,,,,,
announce-crumb-cheer-4,,,THE CAKE IS OPEN AGAIN!,,,,,,,,,,,,,,,,,
announce-crumb-cheer-5,,,OUT OF MY WAY!,,,,,,,,,,,,,,,,,
announce-crumb-cheer-6,,,CRUNCHED!,,,,,,,,,,,,,,,,,
announce-crumb-cheer-7,,,"NEXT LAYER, PLEASE!",,,,,,,,,,,,,,,,,
announce-crumb-cheer-8,,,THAT ONE WAS CHEWY!,,,,,,,,,,,,,,,,,
announce-crumb-cheer-9,,,GUARD? WHAT GUARD?,,,,,,,,,,,,,,,,,
announce-crumb-cheer-10,,,KEEP EATING DOWN!,,,,,,,,,,,,,,,,,
announce-monster-cheer-1,,,MONSTER MUNCHED!,,,,,,,,,,,,,,,,,
announce-monster-cheer-2,,,YOU ATE THE MONSTER!,,,,,,,,,,,,,,,,,
announce-monster-cheer-3,,,CAKE MONSTER DOWN!,,,,,,,,,,,,,,,,,
announce-monster-cheer-4,,,TASTES LIKE VICTORY!,,,,,,,,,,,,,,,,,
announce-monster-cheer-5,,,CHOMPED!,,,,,,,,,,,,,,,,,
announce-monster-cheer-6,,,MONSTER? MORE LIKE DESSERT!,,,,,,,,,,,,,,,,,
announce-monster-cheer-7,,,EATEN IN ONE SITTING!,,,,,,,,,,,,,,,,,
announce-monster-cheer-8,,,THE CAKE IS YOURS!,,,,,,,,,,,,,,,,,
announce-monster-cheer-9,,,MONSTER DEVOURED!,,,,,,,,,,,,,,,,,
announce-monster-cheer-10,,,NOT A CRUMB LEFT!,,,,,,,,,,,,,,,,,
zone-chocolate,,,CHOCOLATE,ШОКОЛАД,CHOCOLATE,CHOCOLATE,CHOCOLAT,SCHOKOLADE,CIOCCOLATO,チョコレート,초콜릿,巧克力,巧克力,COKELAT,ช็อคโกแลต,ÇİKOLATA,SÔ CÔ LA,CZEKOLADA,الشوكولاتة,
zone-jelly,,,JELLY,ЖЕЛЕ,JALEA,GELÉIA,GELÉE,WACKELPUDDING,GELATINA,ゼリー,젤리,凝胶,果凍,JELLY,เจลลี่,JÖLE,THẠCH,DŻELKA,الجيلي,
zone-butter,,,BUTTER,СЛИВКО,MANTEQUILLA,MANTEIGA,BEURRE,BUTTER,BURRO,バター,버터,奶油,奶油,MENTEGA,เนย,TENEKE,BƠ,MASŁO,الزبدة,
zone-cheese,,,CHEESE,СЫР,QUESO,QUEIJO,FROMAGE,KÄSE,FORMAGGIO,チーズ,치즈,奶酪,奶酪,KEJU,ชีส,PEYNIR,PHO MÁ,SER,الجبن,
zone-jam,,,JAM,ДЖАМ,MERMELADA,JAM,JAM,JAM,MARMELADE,ジャム,잼,果酱,果醬,JAM,แยม,REÇEL,MỨT,DŻEM,المربى,
zone-sponge,,,SPONGE,ГУБКА,ESPONJA,ESFREGONA,ÉPONGE,SCHWAMM,SPUGNA,スポンジ,스폰지,海绵,海綿,Spons,ฟองน้ำ,Sünger,BỌT biển,Gąbka,الإسفنج,
zone-cream,,,CREAM,КРЕМ,CREMA,CREME,CRÈME,CREME,CREMA,クリーム,크림,奶油,奶油,KRIM,ครีม,KREMA,KEM,KREMA,كريمة,
zone-candy,,,CANDY,КОНФЕТЫ,CARAMELOS,DOCES,BONBONS,SÜSSE,CARAMELLE,キャンディー,캔디,糖果,糖果,PERMEN,ลูกอม,ŞEKER,KẸO,CUKIERKI,الحلوى,
zone-caramel,,,CARAMEL,Карамель,CARAMELO,CARAMELO,CARAMEL,KARAMEL,CARAMELLO,キャラメル,캐러멜,焦糖,焦糖,KARAMEL,คาราเมล,Karamel,CARAMEL,KARAMEL,الكراميل,
zone-crumb,,,CRUMBS,Крошки,MIGAS,COVINHAS,Miettes,KRÜMEL,CROSTE,クランブス,크럼브,碎屑,碎屑,REMPAH,เศษ,KIRIKLAR,MẨN VỤN,Okruchy,الفتات,
zone-rainbow-red,,,RED,,,,,,,,,,,,,,,,,
zone-rainbow-orange,,,ORANGE,,,,,,,,,,,,,,,,,
zone-rainbow-yellow,,,YELLOW,,,,,,,,,,,,,,,,,
zone-rainbow-green,,,GREEN,,,,,,,,,,,,,,,,,
zone-rainbow-blue,,,BLUE,,,,,,,,,,,,,,,,,
zone-rainbow-indigo,,,INDIGO,,,,,,,,,,,,,,,,,
zone-rainbow-violet,,,VIOLET,,,,,,,,,,,,,,,,,
announce-find-new,,,NEW DISCOVERY!,Новое открытие!,NUEVO DESCUBRIMIENTO!,NOVA DESCOBERTA!,NOUVELLE DÉCOUVERTE !,NEUE ENTDECKUNG!,NUOVA SCOPERTA!,新しい発見！,새로운 발견!,新的发现！,新的發現！,Penemuan Baru!,การค้นพบใหม่!,YENI KEŞIF!,Khám phá mới!,NOWE ODKRYCIE!,اكتشاف جديد!,
announce-find-rare,,,RARE FIND!,Редкая находка!,¡ENCONTRADO RARO!,ACHADO RARO!,TROUVE RARE !,SELTENER FUND!,RARA SCOPERTA!,レアな発見！,희귀한 발견!,稀有发现！,稀有發現！,Temuan Langka!,การค้นพบที่หายาก!,NADİR BULUŞ!,Phát hiện hiếm có!,Rzadkie znalezisko!,اكتشاف نادر!,
announce-find-epic,,,EPIC FIND!,Эпическая находка!,¡DESCUBRIMIENTO ÉPICO!,DESCOBRIMENTO ÉPICO!,TROUVE ÉPIQUE!,EPISCHER FUND!,TROVA EPICA!,エピックな発見！,에픽 발견!,史诗级发现！,史詩級的發現！,Penemuan Epik!,การค้นพบอันยิ่งใหญ่!,Epik Keşif!,Phát hiện tuyệt vời!,Epickie znalezisko!,اكتشاف مذهل!,
announce-find-legendary,,,LEGENDARY FIND!,Легендарная находка!,¡DESCUBRIMIENTO LEGENDARIO!,ACHADO LENDÁRIO!,Découverte légendaire !,LEGENDÄRER FUND!,TROVATO LEGGENDARIO!,レジェンダリーの発見！,전설적인 발견!,传奇级发现！,傳奇發現！,Penemuan Legendaris!,การค้นพบในตำนาน!,Efsanevi Keşif!,Phát hiện huyền thoại!,Legendarne znalezisko!,الاكتشاف الأسطوري!,
announce-match-lost,,,Match lost! Returning to the lobby...,Матч проигран! Возвращаемся в лобби...,Partida perdida. Volviendo al lobby...,Partida perdida! Voltando ao lobby...,Match perdu ! Retour dans le lobby...,Match verloren! Zurück zur Lobby...,Partita persa! Ritorno alla lobby...,試合に負けました！ロビーに戻ります...,매치 패배! 로비로 돌아갑니다...,比赛失败！正在返回大厅... ,比賽失敗了！返回大廳中...,Pertandingan kalah! Kembali ke lobi...,การแข่งขันแพ้! กำลังกลับไปที่ล็อบบี้...,Maç kaybedildi! Lobiye geri dönülüyor...,Trận đấu thất bại! Quay trở lại sảnh chờ...,Mecz przegrany! Wracamy do lobby...,تم خسارة المباراة. سيتم العودة إلى اللوبي...,
upgrade-capacity,,,Stomach Capacity,Объем желудка,Capacidad del estómago,Capacidade do Estômago,Capacité de l'estomac,Magenkapazität,Capacità dello stomaco,胃の容量,배의 용량,胃容量,胃容量,Kapasitas Perut,ความจุท้อง,Mide Kapasitesi,Dung tích dạ dày,Pojemność żołądka,سعة المعدة,
upgrade-bite-radius,,,Bite Radius,Радиус укуса ,Radio de mordida ,Raio de Mordida,Rayon de morsure,Bissradius ,Raggio di Morso ,噛む範囲,바이트 반경,咬合半径 ,咬擊範圍,Radius Gigitan ,รัศมีกัด ,Isırma Yarıçapı ,Bán kính cắn,Promień ugryzienia,دائرة العض ,
upgrade-bite-depth,,,Bite Depth,Глубина укуса,Profundidad de mordida,Profundidade da Mordida,Profondeur de morsure,Biss-Tiefe,Profondità del morso ,噛みつきの深さ,깨물기 깊이,咬合深度,咬傷深度,Kedalaman Gigitan ,ความลึกการกัด,Isırma Derinliği,Độ sâu cắn,Głębokość ugryzienia,عمق العضة,
upgrade-eat-speed,,,Eat Speed,Скорость еды,Velocidad de Comida,Velocidade de Comer,Vitesse de manger,Essgeschwindigkeit,Velocità di Mangiamento,食事速度,먹는 속도,进食速度,進食速度,Kecepatan Makan,ความเร็วการกิน,Yeme Hızı,Tốc độ ăn,Prędkość jedzenia,سرعة الأكل ,
upgrade-gym-eff,,,Gym Efficiency,Эффективность спортзала,Eficiencia del gimnasio,Eficiência do Ginásio,Efficacité du gymnase,Gym-Effizienz,Efficienza della palestra,ジムの効率,헬스장 효율,健身房效率 ,健身房效率,Efisiensi Gym ,ประสิทธิภาพของยิม,Spor Salonu Verimliliği,Hiệu quả phòng tập,Efektywność siłowni,كفاءة الصالة الرياضية ,
upgrade-burn-speed,,,Burn Speed,Скорость горения,Velocidad de combustión,Velocidade de Queimamento,Vitesse de combustion,Brenngeschwindigkeit,Velocità di combustione,燃焼速度,연소 속도,燃烧速度,燃燒速度,Kecepatan Bakar,ความเร็วในการเผาไหม้,Yanma Hızı,Tốc độ đốt,Prędkość palenia,سرعة الحرق,
upgrade-burn-per-tap,,,Burn Per Tap,Сжигание за клик,Quemar por toque ,Queimar Por Toque,Brûler par tap,Brennen pro Tap,Brucia Per Tap,タップごとに燃やす,탭당 화상,每次点击燃烧一次 ,每點擊一次燃燒一次,Bakar Per Tap,เผาต่อแตะ,Tık Başına Yanma,Lượng calo bị đốt cho mỗi lần nhấn,Spalanie za dotknięcie,الحرق لكل ضغطة ,
upgrade-instant-burn,,,Instant Burn,Мгновенное горение,Quemadura instantánea,Queimadura Instantânea,Brûlure instantanée,Sofortbrennen,Bruciatura istantanea,インスタントバーン,인스턴트 버른,瞬间燃烧,瞬間燃燒,Pembakaran Instan,เผาไหม้ทันที,Anında Yanma,Đốt nhanh,Natychmiastowe spalenie,الحرق الفوري,
upgrade-run-speed,,,Run Speed,Скорость бега,Velocidad de carrera,Velocidade de Corrida,Vitesse de course,Laufgeschwindigkeit,Velocità di corsa,走る速さ,달리기 속도,跑步速度,跑步速度,Kecepatan Lari,วิ่งเร็ว,Koşma Hızı,Tốc độ chạy,Prędkość biegu,سرعة الجري,
label-level-n,,,Lv {n}/{cap},,,,,,,,,,,,,,,,,
btn-max,,,MAX,МАКС,MÁX.,MÁX,MAX,MAX,MAX,マックス,최대,最大值,最大值,MAKSIMAL,สูงสุด,MAKSİMUM,TỐI ĐA,MAKS.,الحد الأقصى,
price-calories,,,{n} cal,{n} калорий,{n} cal,{n} cal,{n} cal,{n} Kalorien,{n} calorie,{n} カロリー,{n} 칼로리,{n} 卡路里,{n} 卡路里,{n} kalori,{n} cal,{n} kalori,{n} cal,{n} cali,{n} السعرات الحرارية,
cat-eating,,,Eating,Еда,Comiendo,Comendo,Manger,Essen,Mangiare,食べる,먹기,正在吃东西,吃東西,Makan,การกิน,Yemek,Ăn,Jedzenie,الأكل ,
cat-body,,,Body,Тело,Cuerpo,Corpo,Corps,Körper,Corpo,体,몸,身体,身體,Tubuh,ตัว,Vücut,Cơ thể,Ciało,الجسم,
cat-gym,,,Gym,Спортзал,Gimnasio ,Academia,Salle de gym,Fitnessstudio ,Palestra ,ジム,헬스장,健身房 ,健身房,Gimnasium,ยิม,Spor Salonu,Phòng tập gym ,Siłownia,الصالة الرياضية,
hex-name-capacity,,,Belly,Желудок,Vientre,Barriga,Ventre,Bauch,Pancia ,お腹,배,肚子,肚子,Perut,ท้อง,Göbek,Bụng,Brzuszek,البطن,
hex-name-biteRadius,,,Bite,Укус,Morder ,Morder,Mordre,Beißen,Morso ,かむ,깨물기,咬一口,咬一口,Gigit,กัด,Isırmak,Cắn,Ugryź,العض,
hex-name-biteDepth,,,Depth,Глубина,Profundidad ,Profundidade,Profondeur,Tiefe,Profondità,深さ,깊이,深度,深度,Kedalaman,ความลึก,Derinlik,Độ sâu,Głębia,العمق,
hex-name-eatSpeed,,,Eat,Есть,Comer,Comer,Manger,Essen,Mangia,食べる,먹기,吃,吃,Makan,กิน,Ye,Ăn,Jedz,أكل ,
hex-name-gymEff,,,Gym,Спортзал,Gimnasio ,Academia,Salle de gym,Fitnessstudio ,Palestra ,ジム,헬스장,健身房 ,健身房,Gimnasium,ยิม,Spor Salonu,Phòng tập gym ,Siłownia,الصالة الرياضية,
hex-name-burnSpeed,,,Speed,Скорость,Velocidad ,Velocidade,Vitesse,Geschwindigkeit,Velocità,速度,스피드,速度,速度,Kecepatan,ความเร็ว,Hız,Tốc độ,Prędkość,السرعة,
hex-name-burnPerTap,,,Tap,Нажмите,Tocar,Toque,Tapez,Tippen,Tocca ,タップ,탭,点击,點擊,Ketuk,แตะ,Dokun,Nhấn,Stuknij,اضغط,
hex-name-instantBurn,,,Instant,Мгновенный,Instantáneo,Instantâneo,Instantané,Sofort,Istantaneo,インスタント,인스턴트,瞬间,瞬間,Instan,ทันที,Anında,Tức thì,Natychmiastowy,فوري,
hex-name-runSpeed,,,Run,Бежать,Correr,Correr,Courir,Laufen,Corri,走る,달리기,跑步,跑步,Lari,วิ่ง,Koş,Chạy,Bieg,الركض ,
upgrade-capacity-desc,,,Bigger belly — hold more cake before the gym.,Большой живот - держите больше торта перед спортзалом.,Vientre más grande - sostén más pastel antes del gimnasio.,Barriga maior - segure mais bolo antes do ginásio.,Plus gros ventre - tenez plus de gâteau avant la salle de gym.,Größerer Bauch - halte mehr Kuchen vor dem Fitnessstudio.,Pancia più grande - tieni più torta prima della palestra.,大きな腹 - ジムの前により多くのケーキを持っています。,더 큰 배 - 헬스장에 가기 전에 더 많은 케이크를 들 수 있습니다.,更大的肚子 - 在健身房之前可以容纳更多的蛋糕。,更大的肚子 - 在健身房前可以裝更多的蛋糕。,Perut yang lebih besar - pegang lebih banyak kue sebelum gym.,ท้องใหญ่ขึ้น - ถือเค้กมากขึ้นก่อนยิม.,Daha büyük karın - spor salonuna gitmeden önce daha fazla pasta tutun.,Bụng lớn hơn - giữ nhiều bánh hơn trước phòng tập thể dục.,Większy brzuch - trzymaj więcej ciasta przed siłownią.,البطنة الأكبر - احمل المزيد من الكعك قبل الصالة الرياضية.,
upgrade-bite-radius-desc,,,Wider bites — clear more cake per chomp.,Более широкие укусы - съедайте больше торта за укус.,Mordidas más anchas: limpia más pastel por mordida.,Mordidas mais amplas - limpe mais bolo por mordida.,Des morsures plus larges - dégustez plus de gâteau à chaque bouchée.,Breitere Bisse - klare mehr Kuchen pro Bissen.,Morso più ampio: mangia più torta per morso.,大きな一口 - かじるたびにもっと多くのケーキを食べることができます。,넓은 깨물기 - 한 입당 더 많은 케이크를 먹을 수 있습니다.,更大的咬口 - 每次咬一口可以吃掉更多的蛋糕。 ,更寬的咬痕 - 每次咬一口可以吃掉更多蛋糕。,Gigitan yang lebih lebar - hapus lebih banyak kue per gigitan.,กัดให้กว้างขึ้น - เคลียร์เค้กมากขึ้นในแต่ละครั้งที่กัด,Daha geniş ısırışlar - her ısırışta daha fazla pasta temizleyin.,Cắn rộng hơn - có thể ăn nhiều bánh hơn mỗi lần cắn.,Szerzejsze ugryzienia - wyczyść więcej ciasta za każde ugryzienie.,العضات الأوسع - قم بتناول المزيد من الكعكة في كل عضة.,
upgrade-bite-depth-desc,,,Deeper bites — dig further into the cake.,Более глубокие укусы - копайте глубже в торт.,Mordeduras más profundas: profundiza en el pastel.,Mordidas mais profundas - cave mais fundo no bolo.,Morsures plus profondes - creusez plus profondément dans le gâteau.,Tiefere Bisse - grabe tiefer in den Kuchen.,Morso più profondo: scava più a fondo nella torta. ,深い噛みつき - ケーキをさらに深く掘り下げます。,더 깊은 깨물기 - 케이크를 더 깊이 파세요.,更深的咬痕 - 进一步挖掘蛋糕。,更深的咬痕 - 更深入地挖掘蛋糕。,Gigitan yang lebih dalam - gali lebih jauh ke dalam kue.,กัดลึกขึ้น - ขุดลงไปในเค้กต่อไป,Daha derin ısırıklar - pastaya daha derine kazın.,Những cú cắn sâu hơn - đào sâu hơn vào chiếc bánh.,Głębsze ugryzienia - kop dalej w ciasto.,اللدغات الأعمق - حفر أعمق في الكعكة.,
upgrade-eat-speed-desc,,,Faster chewing — more bites per second.,Более быстрое жевание - больше укусов в секунду.,Masticación más rápida: más mordeduras por segundo.,Mastigação mais rápida - mais mordidas por segundo.,Mastication plus rapide - plus de morsures par seconde.,Schnelleres Kauen - mehr Bisse pro Sekunde.,Masticazione più veloce - più morsi al secondo.,より速い噛みつき - 毎秒より多くの一口。,더 빠른 씹기 - 초당 더 많은 깨물기 수.,更快的咀嚼速度 - 每秒咬更多次。,更快的咀嚼速度 - 每秒咬更多次。,Mengunyah lebih cepat - lebih banyak gigitan per detik.,การกัดที่เร็วขึ้น - กัดมากขึ้นต่อวินาที,Daha hızlı çiğnemek - saniyede daha fazla ısırma.,Nhai nhanh hơn - nhiều lần nhấm mỗi giây.,Szybsze żucie - więcej ugryzienia na sekundę.,المضغ الأسرع - المزيد من العضات في الثانية.,
upgrade-gym-eff-desc,,,Better workout — more calories banked per burn.,Лучшая тренировка - больше калорий сжигается за раз.,Mejor entrenamiento: más calorías acumuladas por quema.,Melhor treino - mais calorias acumuladas por queima.,Meilleure séance d'entraînement - plus de calories stockées par brûlure.,Besseres Training - mehr gespeicherte Kalorien pro Verbrennung.,Allenamento migliore: più calorie accumulate per bruciare.,より良いトレーニング-燃焼ごとにより多くのカロリーを貯めることができます。,더 나은 운동 - 더 많은 칼로리를 저장합니다.,更好的锻炼效果 - 每次燃烧可储存更多卡路里。,更好的鍛鍊效果 - 每次燃燒時儲存更多卡路里。,Latihan yang lebih baik - lebih banyak kalori yang disimpan per pembakaran.,ออกกำลังกายที่ดีขึ้น - เก็บแคลอรี่มากขึ้นในแต่ละครั้งที่เผาไหม้,Daha iyi egzersiz - yakım başına daha fazla kalori kazanılır.,Tập luyện hiệu quả hơn - nhiều calo được tiết kiệm cho mỗi lần tập luyện.,Lepszy trening - więcej spalonych kalorii.,تمرين أفضل - المزيد من السعرات الحرارية المخزنة لكل حرق. ,
upgrade-burn-speed-desc,,,Faster passive burn — fat melts quicker while you work out.,Более быстрое пассивное горение - жир тает быстрее во время тренировки.,Quemadura pasiva más rápida: la grasa se derrite más rápido mientras haces ejercicio.,Queimamento passivo mais rápido - a gordura derrete mais rapidamente enquanto você se exercita.,Brûlure passive plus rapide - la graisse fond plus rapidement pendant que vous vous entraînez.,"Schnellere passive Verbrennung - Fett schmilzt schneller, während du trainierst.",Combustione passiva più veloce: il grasso si scioglie più velocemente mentre fai attività fisica.,より速いパッシブ燃焼 - 運動中に脂肪がより速く溶けます。,더 빠른 패시브 버닝 - 운동하는 동안 지방이 더 빨리 녹아요.,更快的被动燃烧 - 当你锻炼时，脂肪会更快地融化。,更快的被動燃燒速度 - 當你鍛鍊時，脂肪會更快地融化。,Pembakaran pasif yang lebih cepat - lemak meleleh lebih cepat saat Anda berolahraga.,การเผาไหม้แบบพาสซีฟที่เร็วขึ้น - ไขมันละลายเร็วขึ้นในขณะที่คุณออกกำลังกาย,Daha hızlı pasif yanma - egzersiz yaparken yağ daha hızlı erir.,Quá trình đốt cháy thụ động nhanh hơn - mỡ tan nhanh hơn trong khi bạn tập thể dục.,Szybsze pasywne spalanie – tłuszcz topi się szybciej podczas treningu.,الحرق السلبي الأسرع - يذوب الدهون بشكل أسرع أثناء التمرين.,
upgrade-burn-per-tap-desc,,,Each tap torches more fat — fewer taps to empty the belly.,"Каждое нажатие сжигает больше жира - меньше нажатий, чтобы опустошить живот.",Cada toque quema más grasa: menos toques para vaciar el vientre.,Cada toque queima mais gordura - menos toques para esvaziar a barriga.,Chaque tap brûle plus de graisse - moins de taps pour vider le ventre.,"Jeder Tap verbrennt mehr Fett - weniger Taps, um den Bauch zu entleeren.",Ogni tocco brucia più grasso: meno tocchi per svuotare la pancia.,それぞれのタップでより多くの脂肪が燃えます。腹を空けるにはタップ数を減らしましょう。,각 탭은 더 많은 지방을 태우습니다. 배를 비우려면 탭을 덜 누르세요.,每次点击都会燃烧更多的脂肪 - 点击次数越少，肚子就越容易变平。 ,每點擊一次就會燃燒更多脂肪 - 點擊次數越少，肚子就會越小。,Setiap ketukan membakar lebih banyak lemak - lebih sedikit ketukan untuk mengosongkan perut.,แต่ละการแตะจะเผาไหม้ไขมันมากขึ้น - มีการแตะน้อยลงเพื่อลดหน้าท้องให้ว่างเปล่า ,Her dokunma daha fazla yağ yakar - karnı boşaltmak için daha az dokunma gerekir.,Mỗi lần nhấn sẽ đốt cháy thêm chất béo - ít nhấn hơn để làm rỗng bụng.,"Każde dotknięcie spala więcej tłuszczu – mniej dotknięć, aby opróżnić brzuszek.",كل ضربة تحرق المزيد من الدهون - عدد أقل من الضربات لإفراغ البطن.,
upgrade-instant-burn-desc,,,Burn a slice of fat the instant you start — max tier clears it all!,"Сожгите кусок жира, как только вы начнете - максимальный уровень очистит все это!",Quema una rebanada de grasa en el momento en que comiences - ¡El nivel máximo lo elimina todo!,Queime uma fatia de gordura no instante em que você começar - o nível máximo limpa tudo!,Brûlez une tranche de graisse dès que vous commencez - le niveau maximum efface tout !,"Verbrenne ein Stück Fett, sobald du anfängst – die maximale Stufe löscht alles aus! ",Brucia una fetta di grasso nell'istante in cui inizi - il livello massimo cancella tutto!,開始する瞬間に脂肪のスライスを燃やします。最大ティアではすべてクリアされます！,시작하는 순간 지방 조각을 태우세요. 최대 티어에서는 모든 것을 클리어할 수 있습니다!,从你开始的那一刻起就燃烧一块脂肪 - 最高等级可以清除所有的脂肪！ ,從你開始的那一刻起，就燃燒一塊脂肪，最高等級可以清除所有的脂肪！,Bakar sepotong lemak begitu Anda memulai - tingkat maksimal akan membersihkan semuanya!,เผาชิ้นไขมันทันทีที่คุณเริ่ม - ระดับสูงสุดจะล้างทั้งหมด!,Başladığınız anda bir yağ dilimi yakın - maksimum seviye bunların hepsini temizler!,Đốt một lát mỡ ngay khi bạn bắt đầu - cấp độ tối đa sẽ xóa sạch tất cả!,Spal plasterek tłuszczu w momencie rozpoczęcia - maksymalny poziom usuwa wszystko!,قم بحرق شريحة من الدهون في اللحظة التي تبدأ فيها - المستوى الأقصى يمسح كل شيء!,
upgrade-run-speed-desc,,,Zippier legs — run around the cake faster.,Более легкие ноги - бегайте по торту быстрее.,Piernas más rápidas: corre alrededor del pastel más rápido.,Pernas mais ágeis - corra ao redor do bolo mais rápido.,Jambes plus rapides - courez autour du gâteau plus rapidement.,Zippigere Beine - renne schneller um den Kuchen herum.,Gambe più veloci: corri intorno alla torta più velocemente.,より速い脚 - ケーキをより速く走り回ることができます。,더 빠른 다리 - 케이크를 더 빨리 뛰어다닐 수 있어요.,更快的腿速 - 在蛋糕上跑得更快。 ,更快的腿速 - 在蛋糕上跑得更快。,Kaki yang lebih cepat - lari mengelilingi kue dengan lebih cepat.,ขาที่ว่องไวมากขึ้น - วิ่งรอบๆ เค้กได้เร็วขึ้น ,Daha hızlı bacaklar - pastanın etrafında daha hızlı koşun.,Chân nhanh hơn - chạy xung quanh chiếc bánh nhanh hơn.,Nogi Zippiera - biegnij po torcie szybciej.,الساقات الأكثر حيوية - اركض حول الكعكة بشكل أسرع. ,
hex-owned,,,Owned,Приобретено,En propiedad,Possuído,Possédé,In Besitz,Posseduto,所有済み,보유 중,已拥有,已擁有,Dimiliki,มีแล้ว,Sahip Olunan,Sở hữu,Posiadany,مملوكة,
hex-locked,,,Locked,Закрыто,Bloqueado ,Trancado,Verrouillé,Gesperrt,Bloccato ,ロック済み,잠김,已锁定,已鎖定,Terkunci,ล็อค,Kilitli,Bị Khóa,Zablokowane,مقفل,
hex-open,,,Open,Открыть,Abrir,Abrir,Ouvrir,Öffnen,Apri,開く,열기,打开,開啟,Buka,เปิด,Aç,Mở,Otwórz,يفتح,
hex-back,,,Back,Назад,Volver,Voltar,Retour,Zurück,Indietro,戻る,뒤로,返回,返回,Kembali,กลับ,Geri,Quay lại,Powrót,العودة,
hex-logo,,,UPGRADES,Улучшения,MEJORAS ,MELHORIAS ,AMÉLIORATIONS,VERBESSERUNGEN,MIGLIORAMENTI,アップグレード,업그레이드,升级 ,升級,PENINGKATAN,อัพเกรด,YÜKSELTMELER,NÂNG CẤP,ULEPSZENIA,الترقيات ,
hex-progress,,,{owned}/{total} tiers,,,,,,,,,,,,,,,,,
hex-open-desc,,,Open this branch of upgrades.,Откройте эту ветвь улучшений.,Abre esta rama de mejoras.,Abra este ramo de melhorias.,Ouvrez cette branche d'améliorations.,Öffne diesen Zweig von Upgrades.,Apri questo ramo di aggiornamenti.,このアップグレードの枝を開きます。,업그레이드의 이 가지를 엽니다.,打开这个升级分支。,開啟這個升級分支。,Buka cabang peningkatan ini.,เปิดสาขาอัพเกรดนี้,Yükseltmelerin bu dalını açın.,Mở nhánh nâng cấp này.,Otwórz tę gałąź ulepszeń.,افتح هذا الفرع من الترقيات.,
hex-tip-cost,,,Costs {n} calories,Стоит {n} калорий,Cuesta {n} calorías ,Custa {n} calorias ,Coûte {n} calories,Kostet {n} Kalorien,Costa {n} calorie ,コストは{n}カロリーです,{n} 칼로리가 필요합니다.,需要 {n} 卡路里 ,花費 {n} 卡路里,Biaya {n} kalori,ใช้ {n} แคลอรี่,{n} kalori harcar,Chi phí {n} calo,Kosztuje {n} kalorii,يكلف {n} من السعرات الحرارية.,
hex-tip-max,,,Maxed out!,Достигнут максимум!,¡Al máximo!,No máximo!,Maximisé !,Ausgeschöpft!,Al massimo!,限界に達しました！,최대입니다!,已达到最高水平！ ,已達上限！,Sudah maksimal!,ถึงขีดสุดแล้ว!,Sınırda!,Đã đạt đến giới hạn!,Na maksymalnym poziomie!,لقد وصلت إلى الحد الأقصى!,
hex-tip-locked,,,Buy the previous tier first.,Сначала купите предыдущий уровень.,Compra el nivel anterior primero.,Compre o nível anterior primeiro.,Achetez d'abord le niveau précédent.,Kaufe zuerst die vorherige Stufe.,Acquista prima il livello precedente.,まず前のティアを購入してください。,먼저 이전 티어를 구매하세요.,请先购买上一等级。,請先購買上一個等級。,Beli tingkat sebelumnya terlebih dahulu.,ซื้อระดับก่อนหน้าก่อน,Önce önceki seviyeyi satın alın.,Mua cấp độ trước đó trước tiên.,Najpierw kup poprzedni poziom.,قم بشراء المستوى السابق أولاً.,
hex-close,,,Close [E],Закрыть [E],Cerrar [E],Fechar [E],Fermer [E],Schließen [E],Chiudi [E],閉じる [E],닫기 [E],关闭 [E],關閉 [E],Tutup [E],ปิด [E],Kapat [E],Đóng [E],Zamknij [E],الإغلاق [E],
station-available,,,{n} Available,{n} Доступно,{n} Disponible,{n} Disponível,{n} Disponible,{n} Verfügbar,{n} Disponibili,{n} 利用可能,{n} 사용 가능,{n} 可用,{n} 可用,{n} Tersedia,{n} ว่างอยู่,{n} Mevcut,{n} Có sẵn,{n} Dostępne,{n} متاح,
eat-button,,,EAT,ЕСТЬ,COMER,COMER,MANGER,ESSEN,MANGIARE,食べる,먹기,吃,吃,MAKAN,กิน,YE,ĂN,JEŚĆ,أكل,
gym-tap,,,TAP!,Нажмите!,¡TOCA!,TOQUE!,TAPOTER !,TIPPEN!,TAP!,タップ！,탭!,点击！,點擊！,TAP!,แตะ!,DOKUN!,CHẠM!,STUKNIJ!,اضغط!,
gym-fat-left,,,{n}% FAT,{n}% жира,{n}% GRASA,{n}% GORDURA,{n}% de graisse,{n}% Fett,{n}% GRASSO,{n}% 脂肪,{n}% 지방,{n}% 脂肪,{n}% 脂肪,{n}% Lemak ,{n}% ไขมัน,{n}% Yağ,{n}% Mỡ,{n}% tłuszczu,{n}% الدهون,
